Machine_ID,Operation_Mode,Temperature_C,Production_Speed,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
39,Idle,74.13758999,477.6573907,0.344650286,14.96546994,Low
29,Active,84.26455839,398.174747,0.769848438,7.678270239,Low
15,Active,44.28010157,108.0749587,0.987086311,8.198391135,Low
43,Active,40.56850198,329.5794096,0.983390224,2.740847087,Medium
8,Idle,75.06381737,159.113525,0.573116966,12.10068627,Low
21,Active,80.95979284,147.6877029,0.897386277,0.040716423,Low
39,Active,76.43470132,222.9746909,0.220540058,9.032312655,Low
19,Active,37.67027924,241.4567353,0.911838792,0.738357243,Medium
23,Active,75.54661164,148.4581442,0.500588621,11.44601303,Low
11,Active,56.32470869,281.2580133,0.805491608,3.687912453,Medium
